[1:21:34 AM] New client: ::ffff:165.245.248.86
[1:21:34 AM] GET / - ::ffff:165.245.248.86
[1:21:34 AM] GET /robots.txt - ::ffff:165.245.248.86
[1:21:34 AM] GET /.well-known/security.txt - ::ffff:165.245.248.86
[1:21:34 AM] GET /favicon.ico - ::ffff:165.245.248.86
[1:21:35 AM] GET /security.txt - ::ffff:165.245.248.86
[1:21:35 AM] GET /.well-known/robots.txt - ::ffff:165.245.248.86
[1:21:35 AM] GET /favicon - ::ffff:165.245.248.86
[3:43:58 AM] New client: ::ffff:205.210.31.57
[3:43:58 AM] GET / - ::ffff:205.210.31.57
[7:02:40 AM] GET /sw.js - ::ffff:87.123.38.235
[7:02:40 AM] GET /sw.js - ::ffff:87.123.38.235
[7:02:40 AM] GET /sw.js - ::ffff:87.123.38.235
[7:57:06 AM] New client: ::ffff:61.8.155.126
[7:57:06 AM] GET /app - ::ffff:61.8.155.126
[7:57:07 AM] GET /api/config - ::ffff:61.8.155.126
[7:57:08 AM] GET /sw.js - ::ffff:61.8.155.126
[7:57:08 AM] GET /api/config - ::ffff:61.8.155.126
[7:57:08 AM] WS connected: ::ffff:61.8.155.126 (1 online)
[7:57:08 AM] Owner 8f74dfba connected — 4 room(s) (0 newly registered)
[7:57:08 AM] GET /api/avatar/8f74dfba-ccf6-4f52-9c0d-b3c327ee53dd - ::ffff:61.8.155.126
[7:57:10 AM] WS disconnected: ::ffff:61.8.155.126 (0 online)
[7:57:10 AM] GET /api/config - ::ffff:61.8.155.126
[7:57:11 AM] GET /sw.js - ::ffff:61.8.155.126
[7:57:11 AM] GET /md/README.md - ::ffff:61.8.155.126
[7:57:12 AM] GET /api/config - ::ffff:61.8.155.126
[7:57:12 AM] GET /sw.js - ::ffff:61.8.155.126
[7:57:14 AM] GET /api/config - ::ffff:61.8.155.126
[7:57:15 AM] GET /api/trace - ::ffff:61.8.155.126
[7:57:15 AM] GET /sw.js - ::ffff:61.8.155.126
[7:57:16 AM] GET /api/trace/sprints - ::ffff:61.8.155.126
[7:57:16 AM] GET /api/trace/children/current-sprint-singleton-0000-000000000001?mode=trace - ::ffff:61.8.155.126
[7:57:16 AM] GET /api/ior/ior:instance:current-sprint-singleton-0000-000000000001 - ::ffff:61.8.155.126
[7:57:23 AM] GET /api/trace/children/2173e549-ca99-43e5-aea8-946b02141c13?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/5665a0dd-750d-486b-964c-1bd221163ae4?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/9753220e-f681-44b4-a21e-8c11018ba614?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/fc744c38-1c7f-4855-a8fe-b48a5545285f?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/b4bc80c7-f48b-46d7-9b47-21f0289f3f63?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/db8c2753-37c7-4dbf-94b3-6263da8310b9?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/c80ae70e-9542-4c44-a199-adb6ad51ea17?mode=trace - ::ffff:61.8.155.126
[7:57:24 AM] GET /api/trace/children/5fd13f50-e07b-4cdc-ae26-46c15cc98218?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/c7b46b72-b0a2-4556-b03d-2f298a738c47?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/bf6da13d-c9da-4eba-afcd-b5134bbb35bd?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/d165fff1-74c8-4d9e-b8d2-1f554924a584?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/bc67d092-5d3c-4a42-a784-8fca8a88765c?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/ec368634-9acf-4104-bec8-8a46b3c47144?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/2a873503-e498-454c-af76-8a737a04fe62?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/a2ac4e5c-ad2c-44dd-be13-53aea1997549?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/76fa9794-0dcd-41e5-a71f-fbe8ef6b9b32?mode=trace - ::ffff:61.8.155.126
[7:57:25 AM] GET /api/trace/children/f13fc976-7440-4818-90f0-3f201692083e?mode=trace - ::ffff:61.8.155.126
[7:57:26 AM] GET /api/trace/children/6a6a56d3-3e06-44e9-9ca2-b7c11d574bff?mode=trace - ::ffff:61.8.155.126
